Index,theta,x_upper,x_lower,y_upper,y_lower
A1,-1.5708,1.9579977593448872,1.757997759344887,1.9579977593448872,-4.395999999995884
A1,-1.41372,2.053423031911982,1.853423031911982,2.053423031911982,-4.388490203223856
A1,-1.25664,2.1464986617761874,1.9464986617761872,2.1464986617761874,-4.366145028857945
A1,-1.0995599999999999,2.2349328073333816,2.0349328073333814,2.2349328073333816,-4.329514691818401
A1,-0.94248,2.316547916260699,2.1165479162606986,2.316547916260699,-4.279501156781937
A1,-0.7854,2.3893343443318544,2.1893343443318543,2.3893343443318544,-4.217335928714278
A1,-0.62832,2.451499839758573,2.251499839758573,2.451499839758573,-4.144549728989247
A1,-0.4712400000000001,2.5015136745837343,2.301513674583734,2.5015136745837343,-4.062934803772452
A1,-0.31416,2.5381443364597858,2.3381443364597856,2.5381443364597858,-3.9745007927665963
A1,-0.1570799999999999,2.560489852711425,2.360489852711425,2.560489852711425,-3.8814252449814273
A1,0.0,2.568,2.368,2.568,-3.786
A2,-3.1416,0.028000000008095494,-0.17199999999190452,0.028000000008095494,-4.0859977960769385
A2,-2.98452,0.03169317029762597,-0.16830682970237404,0.03169317029762597,-4.13292827156127
A2,-2.82744,0.0426824321729779,-0.1573175678270221,0.0426824321729779,-4.178703211860607
A2,-2.67036,0.06069719227258863,-0.13930280772741138,0.06069719227258863,-4.222195480765856
A2,-2.51328,0.08529386534492897,-0.11470613465507104,0.08529386534492897,-4.262334149275727
A2,-2.3562,0.11586679684054899,-0.08413320315945103,0.11586679684054899,-4.298130865546037
A2,-2.1991199999999997,0.15166317620674175,-0.048336823793258266,0.15166317620674175,-4.328704191505844
A2,-2.04204,0.19180157366830117,-0.008198426331698844,0.19180157366830117,-4.353301306889376
A2,-1.88496,0.23529364405518266,0.03529364405518265,0.23529364405518266,-4.371316546255966
A2,-1.7278799999999999,0.28106846325430235,0.08106846325430231,0.28106846325430235,-4.382306312552884
A2,-1.5708,0.32799889803846904,0.127998898038469,0.32799889803846904,-4.385999999997976
A3,-1.5708,-0.132001101961531,-0.332001101961531,-0.132001101961531,-4.385999999997976
A3,-1.41372,-0.0850706400432876,-0.28507064004328764,-0.0850706400432876,-4.382306657323208
A3,-1.25664,-0.039295740110071836,-0.23929574011007185,-0.039295740110071836,-4.371317227307186
A3,-1.0995599999999999,0.004196462622974351,-0.19580353737702566,0.004196462622974351,-4.353302307451673
A3,-0.94248,0.04433504078395023,-0.15566495921604978,0.04433504078395023,-4.328705486941937
A3,-0.7854,0.08013164475337087,-0.11986835524662914,0.08013164475337087,-4.298132423957842
A3,-0.62832,0.11070483922552762,-0.08929516077447239,0.11070483922552762,-4.262335932289794
A3,-0.4712400000000001,0.13530180717232815,-0.06469819282767186,0.13530180717232815,-4.2221974444782555
A3,-0.31416,0.15331688678350103,-0.046683113216498984,0.15331688678350103,-4.178705307917998
A3,-0.1570799999999999,0.16430648494004507,-0.03569351505995494,0.16430648494004507,-4.132930448351521
A3,0.0,0.16799999999999998,-0.03200000000000003,0.16799999999999998,-4.086
A4,-3.1416,-2.0019999999919045,-2.2019999999919047,-2.0019999999919045,-4.0859977960769385
A4,-2.98452,-1.9983068297023738,-2.198306829702374,-1.9983068297023738,-4.13292827156127
A4,-2.82744,-1.9873175678270223,-2.1873175678270225,-1.9873175678270223,-4.178703211860607
A4,-2.67036,-1.9693028077274115,-2.1693028077274117,-1.9693028077274115,-4.222195480765856
A4,-2.51328,-1.9447061346550711,-2.1447061346550713,-1.9447061346550711,-4.262334149275727
A4,-2.3562,-1.9141332031594511,-2.1141332031594513,-1.9141332031594511,-4.298130865546037
A4,-2.1991199999999997,-1.8783368237932583,-2.0783368237932582,-1.8783368237932583,-4.328704191505844
A4,-2.04204,-1.8381984263316988,-2.038198426331699,-1.8381984263316988,-4.353301306889376
A4,-1.88496,-1.7947063559448173,-1.9947063559448175,-1.7947063559448173,-4.371316546255966
