index,x,y,radius,angleStart,angleEnd,Rotation
A1,1.858,-3.686,0.61,-1.5708,0,CCW 
A2,0.228,-3.986,0.3,-3.1416,-1.5708,CCW 
A3,-0.232,-3.986,0.3,-1.5708,0,CCW 
A4,-1.802,-3.986,0.3,-3.1416,-1.5708,CCW 
A5,-2.262,-3.986,0.3,-1.5708,0,CCW 
A6,-2.262,-3.686,0.61,-3.1416,-1.5708,CCW 
A7,-2.262,-3.686,0.46,-3.1416,-1.5708,CW
A8,-2.262,-3.986,0.15,-1.5708,0,CW
A9,-1.802,-3.986,0.15,-3.1416,-1.5708,CCW 
A10,-0.232,-3.986,0.15,-1.5708,0,CW
A11,0.228,-3.986,0.15,-3.1416,-1.5708,CW
A12,1.858,-3.686,0.46,-1.5708,0,CW
A13,2.158,-3.146,0.3,-1.5708,0,CCW 
A14,2.158,-3.146,0.15,-1.5708,0,CW
A15,0.938,-2.846,0.46,-1.5708,-0.1553,CW
A16,0.228,-3.606,0.3,1.5708,3.1416,CCW 
A17,0.228,-3.606,0.15,1.5708,3.1416,CW
A18,-0.232,-3.606,0.3,0,1.5708,CCW 
A19,-0.232,-3.606,0.15,0,1.5708,CW
A20,-1.802,-3.606,0.3,1.5708,3.1416,CCW 
A21,-1.802,-3.606,0.15,1.5708,3.1416,CW
A22,-1.802,-3.146,0.3,-3.1416,-1.5708,CCW 
A23,-1.802,-3.146,0.15,-3.1416,-1.5708,CW
A24,-0.232,-3.146,0.3,-1.5708,0,CCW 
A25,-0.232,-3.146,0.15,-1.5708,0,CW
A26,0.228,-3.146,0.3,-3.1416,-1.5708,CCW 
A27,0.228,-3.146,0.15,-3.1416,-1.5708,CW
A28,1.848,-2.986,0.46,1.7261,2.9864,CCW 
A29,1.698,-2.086,0.46,-1.4155,0,CW
A30,1.318,-2.696,0.99,0.0878,0.4475,CW
A31,3.458,-2.696,0.99,2.6941,3.0538,CW
A32,2.308,-2.086,0.3,-0.6288,0,CCW 
A33,2.468,-2.086,0.3,-3.1416,-2.5128,CCW 
A34,-1.672,-2.766,0.61,0,1.5708,CCW 
A35,-1.672,-2.766,0.46,0,1.5708,CW
A36,-1.802,-2.466,0.3,1.5708,3.1416,CCW 
A37,-1.802,-2.466,0.15,1.5708,3.1416,CW
A38,-2.262,-2.466,0.3,0,1.5708,CCW 
A39,-2.262,-2.466,0.15,0,1.5708,CW
A40,-2.262,-2.766,0.46,1.5708,3.1416,CW
A41,-2.262,-2.766,0.61,1.5708,3.1416,CCW 
A42,-2.262,-2.006,0.3,-1.5708,0,CCW 
A43,-2.262,-2.006,0.15,-1.5708,0,CW
A44,-1.802,-2.006,0.3,-3.1416,-1.5708,CCW 
A45,-1.802,-2.006,0.15,-3.1416,-1.5708,CW
A46,2.008,-1.596,0.46,0,1.5708,CCW 
A47,2.008,-1.596,0.61,0,1.5708,CCW 
A48,2.008,-0.836,0.61,-1.5708,0,CCW 
A49,2.008,-0.836,0.46,-1.5708,0,CCW 
A50,2.008,-1.596,0.15,0,1.5708,CW
A51,2.008,-1.596,0.3,0,1.5708,CW
A52,2.008,-0.836,0.3,-1.5708,0,CW
A53,2.008,-0.836,0.15,-1.5708,0,CW
A54,0.378,-1.596,0.61,1.5708,3.1416,CCW 
A55,0.378,-1.596,0.46,1.5708,3.1416,CCW 
A56,0.378,-1.596,0.3,1.5708,3.1416,CW
A57,0.378,-1.596,0.15,1.5708,3.1416,CW
A58,0.378,-0.836,0.15,-3.1416,-1.5708,CW
A59,0.378,-0.846,0.3,-3.1416,-1.5708,CW
A60,0.378,-0.836,0.46,-3.1416,-1.5708,CCW 
A61,0.378,-0.836,0.61,-3.1416,-1.5708,CCW 
A62,-0.382,-1.596,0.61,0,1.5708,CCW 
A63,-0.382,-1.596,0.46,0,1.5708,CCW 
A64,-0.382,-1.596,0.3,0,1.5708,CW
A65,-0.382,-1.596,0.15,0,1.5708,CW
A66,-0.382,-0.836,0.15,-1.5708,0,CW
A67,-0.382,-0.836,0.3,-1.5708,0,CW
A68,-0.382,-0.836,0.46,-1.5708,0,CCW 
A69,-0.382,-0.836,0.61,-1.5708,0,CCW 
A70,-1.012,-1.146,0.3,-2.1996,-1.5708,CCW 
A71,-1.622,-2.286,0.99,1.1233,1.483,CW
A72,-1.802,-1.446,0.15,1.5708,3.1416,CW
A73,-1.802,-1.446,0.3,1.5708,3.1416,CCW 
A74,-1.802,-0.986,0.3,-3.1416,-1.5708,CCW 
A75,-1.802,-0.986,0.15,-3.1416,-1.5708,CW
A76,-1.622,-0.156,0.99,-1.483,-1.1233,CW
A77,-1.012,-1.296,0.3,1.5708,2.1996,CCW 
A78,1.168,-0.536,0.46,-3.1416,-1.5708,CW
A79,3.568,-0.206,0.95,2.5932,3.1416,CW
A80,3.568,-0.206,1.1,2.5932,3.1416,CW
A81,2.238,0.614,0.61,-0.5484,1.5708,CCW 
A82,2.238,0.614,0.46,-0.5484,1.5708,CCW 
A83,2.238,0.614,0.46,-1.9801,-0.5484,CCW 
A84,2.238,0.614,0.61,-1.9801,-0.5484,CCW 
A85,1.878,-0.206,0.43,0,1.1615,CW
A86,1.878,-0.206,0.28,0,1.1615,CW
A87,2.238,0.614,0.61,-2.8208,-1.9801,CCW 
A88,2.238,0.614,0.46,-2.8728,-1.9801,CCW 
A89,2.238,0.614,0.61,1.5708,3.4617,CCW 
A90,2.238,0.614,0.46,1.5708,3.4104,CCW 
A91,1.158,0.224,0.53,0.3398,1.5708,CW
A92,1.158,0.224,0.69,0.3869,1.476,CW
A93,1.168,0.304,0.46,1.676,3.1416,CW
A94,0.688,0.304,0.46,1.6781,3.1416,CW
A95,0.688,0.304,0.61,1.5083,3.1416,CW
A96,-0.695,0.304,0.61,0,1.5062,CW
A97,-0.682,0.304,0.46,0,1.5139,CW
A98,-0.872,0.204,0.71,1.5708,3.0248,CW
A99,-0.872,0.204,0.56,1.5708,3.0123,CW
A991,-0.872,0.204,0.56,2.421,3.0123,CW
A992,-0.872,0.204,0.56,1.847,2.421,CW
A993,-0.872,0.204,0.56,1.5708,1.847,CW
A100,-2.032,0.354,0.61,-0.9467,-0.1307,CCW 
A101,-2.032,0.354,0.61,-2.2007,-0.9467,CCW
A1011,-2.032,0.354,0.61,-2.2007,-1.759,CCW 
A1012,-2.032,0.354,0.61,-1.759,-1.397,CCW 
A1013,-2.032,0.354,0.61,-1.397,-0.9467,CCW 
A102,-1.282,-0.686,0.67,2.1949,3.1416,CW
A1021,-1.282,-0.686,0.67,2.982,3.1416,CW
A1022,-1.282,-0.686,0.67,2.596,2.982,CW
A1023,-1.282,-0.686,0.67,2.1949,2.596,CW
A103,-2.782,-0.686,0.67,0,0.9467,CW
A1031,-2.782,-0.686,0.67,0.545,0.9467,CW
A1032,-2.782,-0.686,0.67,0.155,0.545,CW
A1033,-2.782,-0.686,0.67,0,0.155,CW
A104,-2.032,0.354,0.46,1.8808,6.1326,CCW 
A105,-2.032,0.354,0.61,1.9628,4.0883,CCW 
A106,-0.762,-2.696,3.91,1.619,1.9659,CCW
A1061,-0.762,-2.696,3.91,1.619,1.677,CCW 
A1062,-0.762,-2.696,3.91,1.677,1.872,CCW 
A1063,-0.762,-2.696,3.91,1.872,1.9659,CCW 
A107,-0.762,-2.696,3.76,1.6006,1.9551,CCW 
A108,-2.032,0.354,0.61,-0.1307,1.9628,CCW 
A1081,-2.032,0.354,0.61,-0.1307,0.395,CCW 
A1082,-2.032,0.354,0.61,0.395,1.186,CCW 
A1083,-2.032,0.354,0.61,1.186,1.9628,CCW 
A109,-2.032,0.354,0.46,-0.1506,1.8808,CCW 
A110,2.118,-3.646,0.35,0.1107,1.4601,CCW 
A111,2.118,-3.646,0.19,0.1974,1.3734,CW
A112,-0.912,-3.146,0.15,-3.1416,-1.5708,CW
A113,-1.372,-3.146,0.15,-1.5708,0,CW
A114,-0.072,-2.086,0.3,-0.6288,0,CCW 
A115,1.068,-2.696,0.99,2.6941,3.0538,CW
A116,-1.062,-2.696,0.99,0.0878,0.4475,CW
A117,0.078,-2.086,0.3,-3.1416,-2.5128,CCW 
A118,-0.64327029,0.17842542,0.58098128,0.2192720843,1.5597309598,CW
A119,0.63851381,0.18429179,0.57508178,1.5737040217,2.9304782478,CW
A120,2.2352,0.6096,0.6096,-2.0005391339,-1.6810795028,CCW
A121,2.2352,0.6096,0.6096,-1.6810795028,-0.5483348953,CCW
A122,2.09037747,-0.2032,0.22102253,0,1.2114269542,CW
