Index,centerX,centerY,Width,Height
S1,1.043,-4.296,1.83,0.1999999999999993
S2,1.0430000000000001,-4.136,1.83,0.1999999999999993
S3,-0.0020000000000000018,-4.296,0.66,0.1999999999999993
S4,-0.0020000000000000018,-4.136,0.66,0.1999999999999993
S5,-1.0170000000000001,-4.296,1.7700000000000002,0.1999999999999993
S6,-1.0170000000000001,-4.136,1.77,0.1999999999999993
S7,-2.032,-4.296,0.6600000000000001,0.1999999999999993
S8,-2.032,-4.136,0.6600000000000001,0.1999999999999993
S9,-2.112,-3.7959999999999994,0.20000000000000018,0.5799999999999996
S10,-1.952,-3.7960000000000003,0.20000000000000018,0.5800000000000001
S11,-1.952,-3.376,0.20000000000000018,0.6600000000000001
S12,-2.112,-3.376,0.20000000000000018,0.6600000000000001
S13,-1.0170000000000001,-3.456,1.7700000000000002,0.20000000000000018
S14,-1.0170000000000001,-3.296,1.77,0.20000000000000018
S15,-0.07199999999999998,-3.7959999999999994,0.2,0.5799999999999996
S16,0.07799999999999999,-3.7960000000000003,0.2,0.5800000000000001
S17,-0.07199999999999998,-3.376,0.2,0.6600000000000001
S18,0.07799999999999999,-3.376,0.2,0.6600000000000001
S19,-0.0020000000000000018,-3.306,0.66,0.20000000000000018
S20,-0.0020000000000000018,-3.456,0.66,0.20000000000000018
S21,1.193,-3.456,2.13,0.20000000000000018
S23,1.168,-3.306,2.18,0.20000000000000018
S26,2.468,-3.376,0.20000000000000018,0.6600000000000001
S27,2.308,-3.376,0.20000000000000018,0.6600000000000001
S28,2.468,-2.876,0.20000000000000018,0.7400000000000002
S29,2.308,-2.876,0.20000000000000018,0.7400000000000002
S30,0.07799999999999999,-2.876,0.2,0.7400000000000002
S31,-0.07199999999999998,-2.866,0.2,0.7400000000000002
S32,-1.062,-2.956,0.20000000000000007,0.5800000000000001
S33,-1.222,-2.956,0.20000000000000018,0.5800000000000001
S34,-1.952,-2.801,0.20000000000000018,0.8900000000000001
S35,-2.112,-2.811,0.20000000000000018,0.8900000000000001
S36,-2.722,-3.231,0.20000000000000018,1.1100000000000003
S37,-2.872,-3.221,0.20000000000000018,1.1100000000000003
S38,-2.112,-2.2359999999999998,0.20000000000000018,0.6600000000000001
S39,-2.032,-2.156,0.6600000000000001,0.20000000000000018
S40,-1.952,-2.236,0.20000000000000018,0.6600000000000001
S41,-2.032,-2.316,0.6600000000000001,0.20000000000000018
S42,-1.737,-2.316,0.33000000000000007,0.20000000000000018
S43,-1.737,-2.156,0.3300000000000003,0.20000000000000018
S44,-2.112,-1.726,0.20000000000000018,0.7600000000000005
S441,-2.112,-1.6099999999999999,0.20000000000000018,0.5280000000000002
S442,-2.112,-1.8900000000000001,0.20000000000000018,0.4320000000000004
S45,-1.952,-1.7259999999999998,0.20000000000000018,0.7600000000000002
S451,-1.952,-1.8899999999999997,0.20000000000000018,0.43200000000000016
S452,-1.952,-1.6099999999999999,0.20000000000000018,0.5280000000000002
S46,-0.232,-1.836,0.2,0.6800000000000002
S47,-0.07199999999999998,-2.096,0.2,1.2000000000000002
S48,0.228,-1.8459999999999999,0.2,0.6800000000000002
S49,0.07799999999999999,-2.106,0.2,1.2000000000000002
S50,2.158,-1.836,0.20000000000000018,0.6800000000000002
S51,2.308,-2.096,0.20000000000000018,1.2000000000000002
S52,2.618,-1.8459999999999999,0.20000000000000018,0.6800000000000002
S53,2.468,-2.106,0.20000000000000018,1.2000000000000002
S54,2.618,-1.2160000000000002,0.20000000000000018,0.9600000000000001
S55,2.468,-1.2160000000000002,0.20000000000000018,0.9600000000000001
S56,2.308,-1.2160000000000002,0.20000000000000018,0.9600000000000002
